StartDate,search,queries_1,queries_2,queries_3,news freq,age,gender,politics,education
2022-03-19 8:59:11,No,Election fraud,Voting fraud,Trump fraud,4,60+,Female,Lean right,High school
2022-03-19 10:36:26,Yes,UFO cover ups,Election fraud,Illuminati ,1,40-49,Male,Hard left,Bachelor's degree
2022-03-19 11:51:14,No,Jewish space lasers,Illegal immigrants allowed to vote,Elvis is still alive,1,50-59,Female,Lean left,Associate's degree
2022-03-19 15:57:42,Yes,Area 52,Coronavirus made in a lab,Free will doesn't exist ,4,30-39,Female,Lean left,Associate's degree
2022-03-19 23:22:41,Yes,Kennedy assasination,Area 51,Crack epidemic government,2,50-59,Female,Lean left,Bachelor's degree
2022-03-20 14:56:17,Yes,JFK,Moon Landing,Trump saving children from horrible abuse,5,50-59,Female,Hard right,Associate's degree
2022-03-20 15:37:25,Yes,jfk alive,princess diana murder,moon landing hoax,0,30-39,Male,Hard left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-21 9:35:03,Yes,Top Conspiracy theories,What is considered to be a conspiracy theory,Conspiracy theories I should know about.,0,40-49,Female,Moderate/centrist,High school
2022-03-21 10:01:05,Yes,jfk,aliens,9/11,0,30-39,Male,Lean left,Associate's degree
2022-03-21 10:28:28,No,moon landing fake,who killed jfk,aliens,1,30-39,Female,Hard left,Bachelor's degree
2022-03-21 11:31:31,No,conspiracy theory aliens,conspiracy theory supernatural,conspiracy theory murder,0,30-39,Male,Lean left,Bachelor's degree
2022-03-21 11:31:43,Yes,WEF,Soros,Zionist Supremacist,7,40-49,Male,Lean right,High school
2022-03-21 11:54:44,Yes,"""government cover-up""","""world government""","""deep state""",1,40-49,Male,Hard left,Bachelor's degree
2022-03-21 14:02:37,Yes,Elites run the world,The Clintons are lizards,There are aliens from another planet visiting,10,60+,Female,Moderate/centrist,Bachelor's degree
2022-03-21 16:28:40,Yes,Agenda 2030,Event 201,New World Order,6,30-39,Male,Hard right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-21 17:01:28,Yes,UFO video,Illuminati history,Mafia and JFK,6,30-39,Male,Lean right,High school
2022-03-21 23:05:06,Yes,Aliens,Pharma,Dark web,4,18-29,Male,Lean right,Bachelor's degree
2022-03-21 23:46:27,No,flat earth proof,new world order,qanon evidence,2,18-29,Female,Lean left,Bachelor's degree
2022-03-22 7:11:57,Yes,UFOs,illuminati,ancient aliens,1,30-39,Male,Lean left,Associate's degree
2022-03-22 8:08:23,No,Qanon,JFK death,Wayfair pedophile,0,40-49,Female,Lean left,Bachelor's degree
2022-03-23 6:12:00,No,Covid was planned by powerful people ,crisis actors in school shootings,aliens existence ,0,30-39,Female,Lean left,Bachelor's degree
2022-03-23 15:29:42,Yes,JFK second shooter,911 inside job,COVID-19 fake,2,50-59,Female,Moderate/centrist,Associate's degree
2022-03-24 19:17:15,Yes,Illuminati,New World Order,MK Ultra,5,30-39,Male,Hard right,Bachelor's degree
2022-03-24 22:15:43,No,Chem trails,Deep state,Government conspiracy,4,30-39,Male,Moderate/centrist,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-26 14:02:08,No,qanon and the election,fake moon landing,JFK assassination,6,60+,Male,Lean right,Bachelor's degree
2022-03-26 15:21:05,Yes,911 conspiracy theory,Chem trails,Kennedy Death Conspiracy,1,30-39,Female,Moderate/centrist,High school
2022-03-27 13:28:32,No,JFK assassination,2020 election ,voter fraud,0,60+,Female,Lean left,Bachelor's degree
2022-03-27 13:39:07,No,911 conspiracy,hidden government secrets,illuminati ,1,40-49,Male,Lean right,Associate's degree
2022-03-27 13:51:48,Yes,sandy hook fake,911 government involvement,kennedy shooting cover up,3,30-39,Female,Hard left,Bachelor's degree
2022-03-27 14:41:29,Yes,new world order,bavarian illuminati,Judge Daniel Paul Schreber,6,50-59,Male,Lean right,Associate's degree
2022-03-27 14:46:53,Yes,aliens real,jfk assassination,area 51,1,30-39,Female,Lean left,Bachelor's degree
2022-03-27 18:41:19,Yes,9/11 inside job,sandy hook false flag,JFK Jr Trump rally,6,30-39,Female,Lean left,Bachelor's degree
2022-03-27 19:44:58,,presidential election fraud,moon landing real?,911 theories,1,40-49,Male,Hard right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-03-28 8:32:18,Yes,Hunter's laptop,Wuhan lab leak,election fraud,1,50-59,Female,Hard right,Bachelor's degree
2022-03-28 10:00:10,Yes,covid hoax,Paul McCartney dead,flat earth,0,50-59,Female,Lean left,Associate's degree
2022-03-28 12:17:35,Yes,qanon,flat earth,reptile people,9,40-49,Male,Lean left,Bachelor's degree
2022-03-28 12:09:08,Yes,Conspiracy ,Republican ,TikTok ,1,40-49,Female,Lean right,Bachelor's degree
2022-03-28 21:58:50,No,moon landing,jfk murder,area 54,6,50-59,Female,Moderate/centrist,Bachelor's degree
2022-03-29 15:50:52,Yes,conspiracy documentary,conspiracy theories,alien conspiracy,8,18-29,Male,Lean right,Bachelor's degree
2022-03-29 19:39:49,No,Corona Virus,UFO,Government,0,40-49,Female,Moderate/centrist,Bachelor's degree
2022-03-30 3:15:25,Yes,moon landing faked,9/11 conspiracy,JFK assassination truth,5,40-49,Male,Hard left,Bachelor's degree
2022-03-31 15:48:55,Yes,top conspiracy theory,new conspiracy theory,most compelling conspiracy theories,3,30-39,Female,Lean left,High school
2022-03-31 18:59:17,No,New World Order conspiracy,Pizzagate conspiracy,Anthony Bourdain murder conspiracy,1,30-39,Female,Hard left,Bachelor's degree
2022-03-31 21:32:18,Yes,covid vaccines and chips,9/11,secret alien was found,3,30-39,Female,Moderate/centrist,Associate's degree
2022-04-01 11:26:32,No,vaccine hoax,mind control weapon,secret biolabs,0,50-59,Female,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-04-01 12:45:04,No,fake news,conspiracies,untruths,0,40-49,Male,Lean left,High school
2022-04-01 12:45:06,Yes,government spying on phone calls and texts,MK Ultra tech used today,Cloud seeding and human's tech to change the weather,1,30-39,Male,Lean left,High school
2022-04-01 12:46:11,Yes,9/11 conspiracy,Red Cross Scam,Barrel Oil Conspiracies,7,30-39,Male,Moderate/centrist,Bachelor's degree
2022-04-01 12:46:00,No,conspiracy,conspiracies,plots,3,50-59,Male,Lean left,Bachelor's degree
2022-03-31 20:40:14,Yes,alien conspiracy,big foot conspiracy,bermuda triangle conspiracy,0,30-39,Male,Hard left,High school
2022-04-01 12:48:56,Yes,covid hoax,9/11 hoax,election stolen,4,30-39,Male,Hard right,Bachelor's degree
2022-04-01 13:13:18,Yes,911 inside job,jetfuel cant melt steel beams,911 conspiracy,1,30-39,Male,Hard left,High school
2022-04-01 13:21:18,Yes,flat earth,9/11 truth,jfk jr,0,40-49,Male,Lean left,High school
2022-04-01 13:36:48,Yes,inflation ,war,ufo,2,50-59,Female,Lean right,Associate's degree
2022-04-01 15:20:00,Yes,was 9/11 staged?,does the government create fake news stories to distract us?,was COVID man made?,1,30-39,Female,Moderate/centrist,Associate's degree
2022-04-01 16:31:37,Yes,drug company vaccine scam,JFK assassination,moon walk real,9,50-59,Female,Lean left,Associate's degree
2022-04-02 7:49:09,Yes,What is Q-Anon?,What's happening at Skinwalker Ranch?,Why do some people believe that the world is flat?,2,40-49,Female,Lean left,Bachelor's degree
2022-04-02 12:07:38,Yes,conspiracy,Weird theories,Scary theories,5,30-39,Female,Lean right,Bachelor's degree
2022-04-02 13:17:14,No,covid fake,vaccinations cause bad health,vaccinations contain chips,3,60+,Female,Lean right,Bachelor's degree
2022-04-03 7:55:19,Yes,nba draft frozen envelope,paul mccartney car crash death,who shot jfk,0,30-39,Male,Hard left,High school
2022-04-03 8:33:35,Yes,flat earth,planet x collision course,weather control machine,7,18-29,Male,Moderate/centrist,Bachelor's degree
2022-04-03 22:03:58,Yes,Proof of Alien Life ,Time Travelers,Lost Cosmonauts ,10,50-59,Female,Moderate/centrist,High school
2022-04-04 10:21:17,Yes,flat earth,jfk assassination,ufo,3,30-39,Female,Lean left,Associate's degree
2022-04-04 16:18:11,Yes,what really happened 911?,Is the stock market rigged?,What election where rigged?,8,40-49,Female,Lean right,Bachelor's degree
2022-04-05 8:42:03,Yes,JFK assasination,new world order,covid hoax,2,30-39,Female,Moderate/centrist,High school
2022-04-05 9:33:15,Yes,Flat Earth,Great Reset, White Genocide,2,30-39,Male,Hard right,High school
2022-04-05 16:24:38,Yes,Las Vegas shooting CIA,Vegas massacre conspiracy,steele dossier conspiracy,4,50-59,Female,Lean right,Bachelor's degree
2022-04-05 16:38:11,No,flat earth ,reptilians,alien conspiracy,7,40-49,Female,Lean left,High school
2022-04-05 16:41:47,No,Trump Election ,Aliens Roswell Government,Hoffa Alive,1,40-49,Male,Lean right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-04-05 16:42:25,Yes,5G cancer,Hilary Clinton Pizza Pedo,Covid vax cancer,7,50-59,Female,Hard left,Bachelor's degree
2022-04-05 16:54:07,Yes,9-11 Conspiracy,Qanon,Top Conspiracy Theories ,4,30-39,Male,Lean left,Associate's degree
2022-04-05 17:11:59,Yes,Vaccines cause autism,QAnon,Chemtrails,0,30-39,Male,Lean left,Bachelor's degree
2022-04-05 19:02:13,Yes,chemtrails,pizzagate,2020 election scandal,7,40-49,Male,Lean left,High school
2022-04-05 19:23:03,No,flat earth,chemtrails,illuminati,8,30-39,Male,Moderate/centrist,High school
2022-04-06 3:47:36,Yes,Subliminal message is Dinsey movies,Michael Jackson still alive,Celebrities that faked their death,6,30-39,Male,Moderate/centrist,Bachelor's degree
2022-04-06 6:45:55,Yes,jfk asassination,fake moon landing,sasquatch,1,40-49,Male,Moderate/centrist,Associate's degree
2022-04-06 6:45:38,Yes,hydrochloroquin efficacy against covid,Hunter biden's laptop,stolen election,7,50-59,Male,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-04-07 13:54:33,Yes,Bohemian Grove,Alex Jones,Denver airport,1,30-39,Male,Moderate/centrist,High school
2022-04-09 7:57:39,Yes,9/11 Truth,Loose Change,9/11 Inside job,1,40-49,Male,Lean left,Bachelor's degree
2022-04-09 10:40:19,No,Bill Gates,Microsoft,chips in vaccines,9,40-49,Male,Lean left,Bachelor's degree
2022-04-09 11:23:49,No,QANON,PEDOPHILE RING,SECRET ORGANIZATION,0,50-59,Female,Hard left,High school
2022-04-09 14:35:45,Yes,JFK's assassination,is covid-19 a hoax?,was the 2020 election rigged?,5,40-49,Female,Hard left,Bachelor's degree
2022-04-09 16:23:05,Yes,9/11 conspiracy,JFK two shooters,Trump pee tape,2,40-49,Male,Lean left,Bachelor's degree
2022-04-09 19:23:29,No,Flat earth theory,Fake moon landing,9/11 conspiracy ,2,30-39,Male,Lean left,Bachelor's degree
2022-04-09 20:27:04,Yes,Q Anon,Flat Earth,Covid Lab Leak,7,18-29,Male,Lean left,High school
2022-04-10 9:56:22,Yes,covid-19 vaccine,9/11,moon landing,3,30-39,Female,Moderate/centrist,Associate's degree
2022-04-10 20:54:32,No,jfk assasination,9/11,new world oder,0,30-39,Male,Moderate/centrist,Less than high school
2022-04-11 8:02:22,No,Conspiracy,off the wall ideas ,common conspiracies ,8,60+,Female,Moderate/centrist,High school
2022-04-11 18:14:38,No,conspiracy,government,collusion ,4,60+,Female,Lean right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-04-11 21:52:36,Yes,Qanon,White Water,Bermuda Triangle,7,30-39,Female,Hard left,Associate's degree
2022-04-12 18:47:53,Yes,Biblical cosmology,Flat Earth,Mud flood,9,40-49,Female,Hard right,Associate's degree
2022-04-13 14:50:15,Yes,geoengineering,covid tests,ivermectin use for covid,9,60+,Female,Hard right,Associate's degree
