StartDate,search,queries_1,queries_2,queries_3,news freq,age,gender,politics,education
2022-02-05 13:43:25,Yes,illuminati,have aliens been to earth ,area 51,2,40-49,Female,Moderate/centrist,High school
2022-02-05 14:12:03,Yes,mlk fbi,mlk killed by govt,mlk conspiracy,0,30-39,Female,Lean right,Bachelor's degree
2022-02-05 14:22:58,Yes,John F Kennedy ,UFOs ,paranormal,5,40-49,Female,Moderate/centrist,Associate's degree
2022-02-05 15:42:43,Yes,ufos,kennedy assasinaation,moon landing,2,60+,Male,Lean right,High school
2022-02-05 16:23:39,Yes,Illuminati,Climate change ,Celebrity clones,10,30-39,Female,Hard left,Bachelor's degree
2022-02-05 16:23:29,Yes,9/11 inside job,moon landing hoax,roswell crash conspiracy,4,18-29,Male,Lean left,Bachelor's degree
2022-02-05 17:59:39,Yes,Government Conspiracies,Twin Tower Theories,UFO & Goverment,4,60+,Female,Lean left,Bachelor's degree
2022-02-05 22:18:09,Yes,ufos,illuminati,shadow government,0,50-59,Male,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-02-05 23:44:25,Yes,russia collusion,kennedy assassination,great reset,7,50-59,Male,Lean right,High school
2022-02-06 5:02:03,Yes,JOHN KENNEDY,ASSASINATION,PRESIDENT,6,50-59,Female,Lean left,Bachelor's degree
2022-02-06 5:55:50,No,government is hiding information,COVID vaccine implanting chips,secret aliens on planets,0,60+,Female,Moderate/centrist,High school
2022-02-06 6:34:32,Yes,Alex Jones,New World Order,Globalist agenda,7,30-39,Male,Lean right,Bachelor's degree
2022-02-06 11:39:07,Yes,conspiracy,conspiracy theory,fake news,3,60+,Female,Lean right,Bachelor's degree
2022-02-06 12:24:40,Yes,9/11 conspiracy theory,Moon Landing Hoax,Sandy Hook shooting actors ,2,30-39,Female,Hard left,Associate's degree
2022-02-06 13:21:57,No,conspiracy theories,conspiracy,theories that are a conspiracy,1,30-39,Female,Moderate/centrist,High school
2022-02-07 7:16:51,Yes,9/11,twin towers,spare change,0,30-39,Female,Lean left,Bachelor's degree
2022-02-07 7:14:00,Yes,Covid 19 origins,Covid made by China lab,Covid escaped lab,4,40-49,Female,Moderate/centrist,Associate's degree
2022-02-07 7:41:17,Yes,Covid Shot Magnetic,9/11 conspiracy,Celebs are lizards,3,30-39,Female,Moderate/centrist,Associate's degree
2022-02-07 8:52:14,Yes,top conspiracy theories ,was 911 an inside job,qanon,0,30-39,Female,Lean left,High school
2022-02-07 9:14:33,No,exposing conspiracy theorists,why do people believe conspiracy theories,crazy conspiracy theories,0,30-39,Male,Lean left,High school
2022-02-07 10:06:54,No,illuminati,lizard men,one world order,2,40-49,Male,Lean left,Bachelor's degree
2022-02-07 11:19:58,No,conspiracy theories,government coverups,mandela effect,2,40-49,Female,Hard left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-02-07 11:22:30,No,conspiracy,election consipracy,covid conspiracy,0,50-59,Female,Lean left,Bachelor's degree
2022-02-07 11:21:55,Yes,9/11 inside job,Coronavirus wuhan lab,Melania Trump double,1,30-39,Male,Lean left,High school
2022-02-07 11:23:45,No,9/11 who really did it,Is the government hiding aliens,How is the world flat,7,30-39,Male,Moderate/centrist,High school
2022-02-07 11:23:32,No,UFO coverup,secret society plans,hidden government agencies,2,40-49,Male,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-02-07 11:28:54,Yes,philadelphia experiment,9/11,trump,9,30-39,Male,Lean right,Associate's degree
2022-02-07 11:21:07,Yes,Kennedy assassination,9/11 conspiracy,Roswell UFO ,0,60+,Female,Hard left,Bachelor's degree
2022-02-07 11:40:27,No,N/A,N/A,N/A,1,40-49,Male,Lean right,Bachelor's degree
2022-02-07 11:38:49,Yes,Hydroxychloroquine helps to treat covid,Covid vaccines deaths,ivermectin treatment studies,3,40-49,Female,Hard left,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-02-07 11:49:31,Yes,Pizzagate,Q drops,9/11 truther,3,30-39,Female,Lean right,Bachelor's degree
2022-02-07 11:52:29,No,fake moon landing,martin luther king jr fbi,jfk lone gunman,0,30-39,Female,Lean left,Associate's degree
2022-02-07 11:58:19,Yes,Moon landing real,911 planned,covid 19 plandemic,8,40-49,Male,Lean right,Bachelor's degree
2022-02-07 12:14:21,Yes,who did 9/11,Epstein didnt kill himself,faked moon landing,9,30-39,Male,Lean right,Bachelor's degree
2022-02-07 12:09:05,Yes,Roswell UFO,Who really killed JFK,Alien conspiracies,6,30-39,Male,Lean left,Associate's degree
2022-02-14 14:30:36,Yes,moon landing filmed in Hollywood,Elvis not really dead,JFK Jr. Didn't die in Airplane,1,40-49,Female,Hard left,High school
2022-02-14 14:32:28,Yes,Russia Collusion,flat earth,bigfoot,3,30-39,Male,Lean right,High school
2022-02-14 14:33:13,No,COVID was made in lab,Chips are inside COVID vaccines,Govt is hiding UFOs,0,50-59,Female,Lean left,Associate's degree
2022-02-14 14:36:34,No,illuminati,ufo,deep state,4,30-39,Male,Lean left,High school
2022-02-14 14:37:01,Yes,moon landing fake,flat earth ,kennedy assassination conspiracy,1,30-39,Male,Hard left,Bachelor's degree
2022-02-14 14:47:22,Yes,Covid-19 conpsiracy theories,government conspiracy theories ,what are chem trails?,3,30-39,Male,Moderate/centrist,Bachelor's degree
2022-02-14 14:49:11,Yes,Illuminati,Project Bluebeam,9/11 conspiracy,6,30-39,Male,Lean right,Associate's degree
2022-02-14 14:58:33,Yes,most believed conspiracy theories,top conspiracy theories,big conspiracy theories,1,30-39,Male,Lean left,High school
2022-02-14 15:04:49,Yes,unbelievable stories,myths that persist,fake news,6,40-49,Male,Lean right,"Graduate degree (M.D., J.D., PhD, etc.)"
2022-02-14 15:09:29,Yes,OKC bombing second suspect,Timothy McVeigh black ops,"Aberration in the Heartland of the Real: The Secret Lives of Timothy McVeigh"" by Wendy S. Painting, PHD",3,18-29,Male,Hard left,High school
2022-02-14 15:19:15,Yes,hawaii chemtrails,pizzagate adrenochrome,vaccine bloody spikes,1,40-49,Male,Hard left,Bachelor's degree
2022-02-14 15:26:18,No,man on the moon,obama birth certificate,covid origin,8,40-49,Male,Moderate/centrist,High school
2022-02-14 16:04:20,Yes,jfk,ufos,911,0,30-39,Female,Hard left,High school
2022-02-15 2:36:44,No,What is in area 51,Did the US government plan 9/11,Why did the US government kill Martin Luther King Jr.,2,30-39,Male,Lean right,Bachelor's degree
2022-02-15 2:49:06,Yes,911 plane crash,ufo sightings,area 51,3,18-29,Male,Moderate/centrist,Associate's degree
2022-02-15 15:40:31,Yes,covid ,government,aliens,8,40-49,Male,Lean left,Bachelor's degree
2022-02-15 18:43:59,No,origin of Q,scientific evidence,educational level,2,50-59,Male,Lean left,Bachelor's degree
2022-02-16 0:49:49,Yes,flat earth,didn't go the moon....and that is true,unrelenting body odor from leftist nutjob females that is impossible to cover up ,0,40-49,Male,Hard right,Bachelor's degree
2022-02-16 11:16:03,Yes,redlining ,gerrymandering ,Russian tampering of the 2016 election ,10,30-39,Male,Moderate/centrist,Bachelor's degree
